,condition,prob
280,noURL,0.1
281,noURL,0.9
282,noURL,0.1
283,noURL,0.85
284,noURL,0.1
285,noURL,0.1
286,noURL,0.1
287,noURL,0.1
288,noURL,0.1
289,noURL,0.1
290,noURL,0.1
291,noURL,0.1
292,noURL,0.1
293,noURL,0.1
294,noURL,0.1
295,noURL,0.1
296,noURL,0.05
297,noURL,0.05
298,noURL,0.05
299,noURL,0.05
300,noURL,0.05
301,noURL,0.05
302,noURL,0.05
303,noURL,0.05
304,noURL,0.05
305,noURL,0.05
306,noURL,0.05
307,noURL,0.1
308,noURL,0.05
309,noURL,0.05
310,noURL,0.0
311,noURL,0.05
312,noURL,0.05
313,noURL,0.05
314,noURL,0.0
315,noURL,0.05
316,noURL,0.05
317,noURL,0.05
318,noURL,0.05
319,noURL,0.05
320,noURL,0.05
321,noURL,0.05
322,noURL,0.05
323,noURL,0.05
324,noURL,0.05
325,noURL,0.05
326,noURL,0.05
327,noURL,0.05
328,noURL,0.1
329,noURL,0.1
330,noURL,0.1
331,noURL,0.1
332,noURL,0.1
333,noURL,0.05
334,noURL,0.05
335,noURL,0.05
336,noURL,0.05
337,noURL,0.05
338,noURL,0.05
339,noURL,0.05
340,noURL,0.05
341,noURL,0.05
342,noURL,0.05
343,noURL,0.05
344,noURL,0.0
345,noURL,0.05
346,noURL,0.05
347,noURL,0.05
348,noURL,0.05
349,noURL,0.05
350,noURL,0.05
351,noURL,0.05
352,noURL,0.85
353,noURL,0.05
354,noURL,0.05
355,noURL,0.05
356,noURL,0.05
357,noURL,0.05
358,noURL,0.05
359,noURL,0.05
360,noURL,0.1
361,noURL,0.05
362,noURL,0.05
363,noURL,0.05
364,noURL,0.05
365,noURL,0.05
366,noURL,0.05
367,noURL,0.05
368,noURL,0.05
369,noURL,0.05
370,noURL,0.05
371,noURL,0.05
372,noURL,0.05
373,noURL,0.0
374,noURL,0.0
375,noURL,0.05
376,noURL,0.05
377,noURL,0.05
378,noURL,0.05
379,noURL,0.2
380,noURL,0.1
381,noURL,0.05
382,noURL,0.0
383,noURL,0.05
384,noURL,0.05
385,noURL,0.05
386,noURL,0.05
387,noURL,0.05
388,noURL,0.05
389,noURL,0.05
390,noURL,0.05
391,noURL,0.05
392,noURL,0.05
393,noURL,0.05
394,noURL,0.05
395,noURL,0.05
396,noURL,0.0
397,noURL,0.05
398,noURL,0.05
399,noURL,0.05
400,noURL,0.05
401,noURL,0.05
402,noURL,0.05
403,noURL,0.05
404,noURL,0.05
405,noURL,0.1
406,noURL,0.05
407,noURL,0.05
408,noURL,0.05
409,noURL,0.05
410,noURL,0.05
411,noURL,0.05
412,noURL,0.05
413,noURL,0.05
414,noURL,0.05
415,noURL,0.05
416,noURL,0.05
417,noURL,0.05
418,noURL,0.05
419,noURL,0.05
420,noURL,0.05
421,noURL,0.05
422,noURL,0.05
423,noURL,0.1
424,noURL,0.1
425,noURL,0.1
426,noURL,0.05
427,noURL,0.05
428,noURL,0.05
429,noURL,0.05
430,noURL,0.1
431,noURL,0.05
432,noURL,0.1
433,noURL,0.05
434,noURL,0.05
435,noURL,0.05
436,noURL,0.05
437,noURL,0.05
438,noURL,0.05
439,noURL,0.05
440,noURL,0.05
441,noURL,0.05
442,noURL,0.05
443,noURL,0.05
444,noURL,0.05
445,noURL,0.05
446,noURL,0.05
447,noURL,0.05
448,noURL,0.05
449,noURL,0.85
450,noURL,0.05
451,noURL,0.05
452,noURL,0.05
453,noURL,0.05
454,noURL,0.05
455,noURL,0.05
456,noURL,0.05
457,noURL,0.0
458,noURL,0.05
459,noURL,0.05
460,noURL,0.05
461,noURL,0.05
462,noURL,0.05
463,noURL,0.05
464,noURL,0.05
465,noURL,0.05
466,noURL,0.05
467,noURL,0.05
468,noURL,0.0
469,noURL,0.05
470,noURL,0.05
471,noURL,0.1
472,noURL,0.05
473,noURL,0.05
474,noURL,0.05
475,noURL,0.05
476,noURL,0.05
477,noURL,0.0
478,noURL,0.05
479,noURL,0.05
480,noURL,0.05
481,noURL,0.05
482,noURL,0.05
483,noURL,0.05
484,noURL,0.05
485,noURL,0.05
486,noURL,0.05
487,noURL,0.1
488,noURL,0.05
489,noURL,0.1
490,noURL,0.1
491,noURL,0.1
492,noURL,0.1
493,noURL,0.1
494,noURL,0.1
495,noURL,0.1
496,noURL,0.1
497,noURL,0.1
498,noURL,0.05
499,noURL,0.1
500,noURL,0.1
501,noURL,0.1
502,noURL,0.1
503,noURL,0.1
504,noURL,0.1
505,noURL,0.1
506,noURL,0.1
507,noURL,0.1
508,noURL,0.1
509,noURL,0.1
510,noURL,0.05
511,noURL,0.1
512,noURL,0.1
513,noURL,0.1
514,noURL,0.1
515,noURL,0.1
516,noURL,0.1
517,noURL,0.85
518,noURL,0.05
519,noURL,0.1
520,noURL,0.05
521,noURL,0.05
522,noURL,0.05
523,noURL,0.1
524,noURL,0.05
525,noURL,0.1
526,noURL,0.1
527,noURL,0.1
528,noURL,0.1
529,noURL,0.05
530,noURL,0.1
531,noURL,0.05
532,noURL,0.05
533,noURL,0.05
534,noURL,0.05
535,noURL,0.05
536,noURL,0.1
537,noURL,0.1
538,noURL,0.85
539,noURL,0.1
540,noURL,0.1
541,noURL,0.1
542,noURL,0.85
543,noURL,0.1
544,noURL,0.1
545,noURL,0.1
546,noURL,0.1
547,noURL,0.1
548,noURL,0.1
549,noURL,0.1
550,noURL,0.1
551,noURL,0.1
552,noURL,0.1
553,noURL,0.05
554,noURL,0.05
555,noURL,0.1
556,noURL,0.05
557,noURL,0.05
558,noURL,0.05
559,noURL,0.1
560,noURL,0.05
561,noURL,0.05
562,noURL,0.1
563,noURL,0.05
564,noURL,0.05
565,noURL,0.05
566,noURL,0.05
567,noURL,0.05
568,noURL,0.05
569,noURL,0.05
570,noURL,0.05
571,noURL,0.1
572,noURL,0.85
573,noURL,0.1
574,noURL,0.05
575,noURL,0.05
576,noURL,0.05
577,noURL,0.05
578,noURL,0.05
579,noURL,0.05
580,noURL,0.05
581,noURL,0.05
582,noURL,0.05
583,noURL,0.05
584,noURL,0.05
585,noURL,0.05
586,noURL,0.0
587,noURL,0.05
588,noURL,0.05
589,noURL,0.05
590,noURL,0.1
591,noURL,0.0
592,noURL,0.05
593,noURL,0.05
594,noURL,0.1
595,noURL,0.1
596,noURL,0.05
597,noURL,0.05
598,noURL,0.05
599,noURL,0.05
600,noURL,0.05
601,noURL,0.05
602,noURL,0.05
603,noURL,0.05
604,noURL,0.05
605,noURL,0.1
606,noURL,0.05
607,noURL,0.05
608,noURL,0.1
609,noURL,0.1
610,noURL,0.1
611,noURL,0.1
612,noURL,0.1
613,noURL,0.1
614,noURL,0.05
615,noURL,0.1
616,noURL,0.05
617,noURL,0.1
618,noURL,0.05
619,noURL,0.05
620,noURL,0.1
621,noURL,0.1
622,noURL,0.05
623,noURL,0.1
624,noURL,0.05
625,noURL,0.05
626,noURL,0.85
627,noURL,0.05
628,noURL,0.05
629,noURL,0.05
630,noURL,0.05
631,noURL,0.05
632,noURL,0.05
633,noURL,0.05
634,noURL,0.05
635,noURL,0.85
636,noURL,0.05
637,noURL,0.05
638,noURL,0.05
639,noURL,0.1
640,noURL,0.05
641,noURL,0.1
642,noURL,0.05
643,noURL,0.85
644,noURL,0.05
645,noURL,0.05
646,noURL,0.05
647,noURL,0.05
648,noURL,0.05
649,noURL,0.05
650,noURL,0.05
651,noURL,0.05
652,noURL,0.05
653,noURL,0.05
654,noURL,0.05
655,noURL,0.05
656,noURL,0.05
657,noURL,0.05
658,noURL,0.05
659,noURL,0.05
660,noURL,0.05
661,noURL,0.05
662,noURL,0.05
663,noURL,0.05
664,noURL,0.05
665,noURL,0.05
666,noURL,0.05
667,noURL,0.05
668,noURL,0.1
669,noURL,0.05
670,noURL,0.05
671,noURL,0.95
672,noURL,0.1
673,noURL,0.05
674,noURL,0.05
675,noURL,0.05
676,noURL,0.05
677,noURL,0.05
678,noURL,0.05
679,noURL,0.85
680,noURL,0.0
681,noURL,0.05
682,noURL,0.05
683,noURL,0.1
684,noURL,0.1
685,noURL,0.0
686,noURL,0.05
687,noURL,0.05
688,noURL,0.05
689,noURL,0.05
690,noURL,0.05
691,noURL,0.0
692,noURL,0.05
693,noURL,0.0
694,noURL,0.05
695,noURL,0.05
696,noURL,0.05
697,noURL,0.05
698,noURL,0.05
699,noURL,0.0
700,noURL,0.1
701,noURL,0.05
702,noURL,0.05
703,noURL,0.05
704,noURL,0.05
705,noURL,0.05
706,noURL,0.05
707,noURL,0.1
708,noURL,0.85
709,noURL,0.1
710,noURL,0.05
711,noURL,0.1
712,noURL,0.05
713,noURL,0.1
714,noURL,0.05
715,noURL,0.05
716,noURL,0.05
717,noURL,0.1
718,noURL,0.05
719,noURL,0.05
720,noURL,0.05
721,noURL,0.1
722,noURL,0.05
723,noURL,0.0
724,noURL,0.05
725,noURL,0.05
726,noURL,0.05
727,noURL,0.1
728,noURL,0.05
729,noURL,0.05
730,noURL,0.05
731,noURL,0.05
732,noURL,0.05
733,noURL,0.05
734,noURL,0.1
735,noURL,0.05
736,noURL,0.05
737,noURL,0.05
738,noURL,0.05
739,noURL,0.05
740,noURL,0.05
741,noURL,0.05
742,noURL,0.05
743,noURL,0.05
744,noURL,0.05
745,noURL,0.05
746,noURL,0.05
747,noURL,0.05
748,noURL,0.05
749,noURL,0.05
750,noURL,0.05
751,noURL,0.05
752,noURL,0.05
753,noURL,0.05
754,noURL,0.05
755,noURL,0.05
756,noURL,0.85
757,noURL,0.05
758,noURL,0.05
759,noURL,0.05
760,noURL,0.05
761,noURL,0.05
762,noURL,0.05
763,noURL,0.1
764,noURL,0.85
765,noURL,0.85
766,noURL,0.1
767,noURL,0.1
768,noURL,0.05
769,noURL,0.05
770,noURL,0.1
771,noURL,0.05
772,noURL,0.05
773,noURL,0.05
774,noURL,0.05
775,noURL,0.1
776,noURL,0.85
777,noURL,0.05
778,noURL,0.05
779,noURL,0.05
780,noURL,0.05
781,noURL,0.1
782,noURL,0.05
783,noURL,0.05
784,noURL,0.05
785,noURL,0.05
786,noURL,0.05
787,noURL,0.05
788,noURL,0.05
789,noURL,0.05
790,noURL,0.05
791,noURL,0.05
792,noURL,0.05
793,noURL,0.1
794,noURL,0.1
795,noURL,0.05
796,noURL,0.1
797,noURL,0.05
798,noURL,0.05
799,noURL,0.1
800,noURL,0.1
801,noURL,0.05
802,noURL,0.1
803,noURL,0.1
804,noURL,0.05
805,noURL,0.1
806,noURL,0.05
807,noURL,0.05
808,noURL,0.05
809,noURL,0.05
810,noURL,0.05
811,noURL,0.05
812,noURL,0.0
813,noURL,0.05
814,noURL,0.05
815,noURL,0.05
816,noURL,0.05
817,noURL,0.05
818,noURL,0.05
819,noURL,0.05
820,noURL,0.05
821,noURL,0.05
822,noURL,0.05
823,noURL,0.05
824,noURL,0.05
825,noURL,0.05
826,noURL,0.05
827,noURL,0.05
828,noURL,0.1
829,noURL,0.05
830,noURL,0.05
831,noURL,0.0
832,noURL,0.05
833,noURL,0.0
834,noURL,0.05
835,noURL,0.05
836,noURL,0.05
837,noURL,0.05
838,noURL,0.05
839,noURL,0.05
840,noURL,0.05
841,noURL,0.05
842,noURL,0.05
843,noURL,0.85
844,noURL,0.05
845,noURL,0.1
846,noURL,0.85
847,noURL,0.05
848,noURL,0.1
849,noURL,0.1
850,noURL,0.05
851,noURL,0.05
852,noURL,0.1
853,noURL,0.1
854,noURL,0.05
855,noURL,0.1
856,noURL,0.05
857,noURL,0.05
858,noURL,0.05
859,noURL,0.05
860,noURL,0.0
861,noURL,0.05
862,noURL,0.05
863,noURL,0.05
864,noURL,0.05
865,noURL,0.05
866,noURL,0.05
867,noURL,0.05
868,noURL,0.1
869,noURL,0.05
870,noURL,0.0
871,noURL,0.05
872,noURL,0.0
873,noURL,0.0
874,noURL,0.05
875,noURL,0.05
876,noURL,0.85
877,noURL,0.05
878,noURL,0.85
879,noURL,0.1
880,noURL,0.85
881,noURL,0.05
882,noURL,0.1
883,noURL,0.05
884,noURL,0.05
885,noURL,0.1
886,noURL,0.05
887,noURL,0.1
888,noURL,0.85
889,noURL,0.05
890,noURL,0.1
891,noURL,0.1
892,noURL,0.2
893,noURL,0.1
894,noURL,0.1
895,noURL,0.1
896,noURL,0.1
897,noURL,0.1
898,noURL,0.1
899,noURL,0.05
900,noURL,0.05
901,noURL,0.05
902,noURL,0.1
903,noURL,0.1
904,noURL,0.05
905,noURL,0.1
906,noURL,0.1
907,noURL,0.1
908,noURL,0.1
909,noURL,0.05
910,noURL,0.05
911,noURL,0.1
912,noURL,0.1
913,noURL,0.1
914,noURL,0.05
915,noURL,0.05
916,noURL,0.05
917,noURL,0.05
918,noURL,0.05
919,noURL,0.05
920,noURL,0.05
921,noURL,0.05
922,noURL,0.05
923,noURL,0.05
924,noURL,0.05
925,noURL,0.05
926,noURL,0.05
927,noURL,0.05
928,noURL,0.0
929,noURL,0.05
930,noURL,0.05
931,noURL,0.85
932,noURL,0.05
933,noURL,0.05
934,noURL,0.05
935,noURL,0.05
936,noURL,0.05
937,noURL,0.05
938,noURL,0.05
939,noURL,0.1
940,noURL,0.05
941,noURL,0.1
942,noURL,0.05
943,noURL,0.05
944,noURL,0.75
945,noURL,0.0
946,noURL,0.05
947,noURL,0.85
948,noURL,0.0
949,noURL,0.05
950,noURL,0.05
951,noURL,0.05
952,noURL,0.05
953,noURL,0.05
954,noURL,0.05
955,noURL,0.05
956,noURL,0.0
957,noURL,0.05
958,noURL,0.0
959,noURL,0.05
960,noURL,0.1
961,noURL,0.1
962,noURL,0.05
963,noURL,0.05
964,noURL,0.05
965,noURL,0.05
966,noURL,0.05
967,noURL,0.05
968,noURL,0.05
969,noURL,0.75
970,noURL,0.05
971,noURL,0.05
972,noURL,0.05
973,noURL,0.05
974,noURL,0.05
975,noURL,0.05
976,noURL,0.05
977,noURL,0.1
978,noURL,0.05
979,noURL,0.1
980,noURL,0.1
981,noURL,0.1
982,noURL,0.05
983,noURL,0.05
984,noURL,0.1
985,noURL,0.05
986,noURL,0.1
987,noURL,0.05
988,noURL,0.05
989,noURL,0.05
990,noURL,0.1
991,noURL,0.1
992,noURL,0.1
993,noURL,0.1
994,noURL,0.1
995,noURL,0.1
996,noURL,0.1
997,noURL,0.1
998,noURL,0.1
999,noURL,0.05
1000,noURL,0.1
1001,noURL,0.1
1002,noURL,0.05
1003,noURL,0.05
1004,noURL,0.05
1005,noURL,0.05
1006,noURL,0.05
1007,noURL,0.05
1008,noURL,0.05
1009,noURL,0.05
1010,noURL,0.05
1011,noURL,0.05
1012,noURL,0.05
1013,noURL,0.05
1014,noURL,0.05
1015,noURL,0.1
1016,noURL,0.1
1017,noURL,0.05
1018,noURL,0.1
1019,noURL,0.1
1020,noURL,0.1
1021,noURL,0.05
1022,noURL,0.05
1023,noURL,0.05
1024,noURL,0.05
1025,noURL,0.05
1026,noURL,0.1
1027,noURL,0.05
1028,noURL,0.05
1029,noURL,0.05
1030,noURL,0.05
1031,noURL,0.05
1032,noURL,0.05
1033,noURL,0.05
1034,noURL,0.05
1035,noURL,0.05
1036,noURL,0.05
1037,noURL,0.1
1038,noURL,0.1
1039,noURL,0.05
1040,noURL,0.05
1041,noURL,0.05
1042,noURL,0.05
1043,noURL,0.05
1044,noURL,0.05
1045,noURL,0.05
1046,noURL,0.05
1047,noURL,0.1
1048,noURL,0.05
1049,noURL,0.05
1050,noURL,0.05
1051,noURL,0.05
1052,noURL,0.1
1053,noURL,0.1
1054,noURL,0.05
1055,noURL,0.05
1056,noURL,0.0
1057,noURL,0.1
1058,noURL,0.05
1059,noURL,0.0
1060,noURL,0.0
1061,noURL,0.0
1062,noURL,0.05
1063,noURL,0.0
1064,noURL,0.05
1065,noURL,0.05
1066,noURL,0.05
1067,noURL,0.05
1068,noURL,0.05
1069,noURL,0.05
1070,noURL,0.05
1071,noURL,0.1
1072,noURL,0.1
1073,noURL,0.05
1074,noURL,0.1
1075,noURL,0.05
1076,noURL,0.85
1077,noURL,0.05
1078,noURL,0.1
1079,noURL,0.1
1080,noURL,0.1
1081,noURL,0.05
1082,noURL,0.1
1083,noURL,0.1
1084,noURL,0.1
1085,noURL,0.1
1086,noURL,0.1
1087,noURL,0.1
1088,noURL,0.05
1089,noURL,0.85
1090,noURL,0.05
1091,noURL,0.0
1092,noURL,0.05
1093,noURL,0.05
1094,noURL,0.05
1095,noURL,0.05
1096,noURL,0.05
1097,noURL,0.05
1098,noURL,0.05
1099,noURL,0.05
1100,noURL,0.0
1101,noURL,0.05
1102,noURL,0.05
1103,noURL,0.1
1104,noURL,0.05
1105,noURL,0.05
1106,noURL,0.05
1107,noURL,0.05
1108,noURL,0.05
1109,noURL,0.05
1110,noURL,0.05
1111,noURL,0.05
1112,noURL,0.05
1113,noURL,0.05
1114,noURL,0.05
1115,noURL,0.05
1116,noURL,0.05
1117,noURL,0.05
1118,noURL,0.05
1119,noURL,0.05
1120,noURL,0.05
1121,noURL,0.05
1122,noURL,0.1
1123,noURL,0.85
1124,noURL,0.05
1125,noURL,0.05
1126,noURL,0.1
1127,noURL,0.1
1128,noURL,0.0
1129,noURL,0.1
1130,noURL,0.05
1131,noURL,0.05
1132,noURL,0.05
1133,noURL,0.0
1134,noURL,0.1
1135,noURL,0.05
1136,noURL,0.05
1137,noURL,0.05
1138,noURL,0.05
1139,noURL,0.0
1140,noURL,0.05
1141,noURL,0.05
1142,noURL,0.05
1143,noURL,0.05
1144,noURL,0.1
1145,noURL,0.05
1146,noURL,0.05
1147,noURL,0.05
1148,noURL,0.05
1149,noURL,0.85
1150,noURL,0.85
1151,noURL,0.85
1152,noURL,0.95
1153,noURL,0.1
1154,noURL,0.95
1155,noURL,0.95
1156,noURL,0.9
1157,noURL,1.0
1158,noURL,0.95
1159,noURL,0.85
1160,noURL,0.85
1161,noURL,0.95
1162,noURL,0.95
1163,noURL,0.95
1164,noURL,0.95
1165,noURL,1.0
1166,noURL,1.0
1167,noURL,0.95
1168,noURL,0.95
1169,noURL,0.95
1170,noURL,0.99
1171,noURL,0.95
1172,noURL,1.0
1173,noURL,1.0
1174,noURL,0.95
1175,noURL,0.95
1176,noURL,0.85
1177,noURL,0.95
1178,noURL,1.0
1179,noURL,0.99
1180,noURL,1.0
1181,noURL,1.0
1182,noURL,0.95
1183,noURL,0.95
1184,noURL,0.99
1185,noURL,0.85
1186,noURL,0.95
1187,noURL,0.95
1188,noURL,0.85
1189,noURL,0.95
1190,noURL,1.0
1191,noURL,1.0
1192,noURL,0.95
1193,noURL,0.99
1194,noURL,1.0
1195,noURL,0.95
1196,noURL,0.85
1197,noURL,1.0
1198,noURL,0.95
1199,noURL,0.99
1200,noURL,1.0
1201,noURL,0.99
1202,noURL,1.0
1203,noURL,1.0
1204,noURL,0.95
1205,noURL,0.99
1206,noURL,0.85
1207,noURL,0.99
1208,noURL,1.0
1209,noURL,0.95
1210,noURL,0.95
1211,noURL,1.0
1212,noURL,1.0
1213,noURL,1.0
1214,noURL,1.0
1215,noURL,0.95
1216,noURL,1.0
1217,noURL,1.0
1218,noURL,0.85
1219,noURL,0.95
1220,noURL,0.95
1221,noURL,0.95
1222,noURL,0.95
1223,noURL,0.85
1224,noURL,0.85
1225,noURL,0.95
1226,noURL,0.95
1227,noURL,0.85
1228,noURL,0.95
1229,noURL,0.95
1230,noURL,0.95
1231,noURL,0.95
1232,noURL,0.95
1233,noURL,1.0
1234,noURL,1.0
1235,noURL,1.0
1236,noURL,1.0
1237,noURL,0.99
1238,noURL,0.95
1239,noURL,1.0
1240,noURL,0.95
1241,noURL,0.95
1242,noURL,0.95
1243,noURL,0.95
1244,noURL,0.95
1245,noURL,0.95
1246,noURL,0.85
1247,noURL,0.9
1248,noURL,0.95
1249,noURL,0.9
1250,noURL,0.85
1251,noURL,0.95
1252,noURL,0.95
1253,noURL,0.95
1254,noURL,0.95
1255,noURL,0.85
1256,noURL,1.0
1257,noURL,1.0
1258,noURL,0.95
1259,noURL,0.95
1260,noURL,0.95
1261,noURL,0.95
1262,noURL,1.0
1263,noURL,0.1
1264,noURL,0.9
1265,noURL,0.95
1266,noURL,0.95
1267,noURL,0.95
1268,noURL,0.85
1269,noURL,0.85
1270,noURL,0.95
1271,noURL,0.95
1272,noURL,0.95
1273,noURL,0.95
1274,noURL,1.0
1275,noURL,0.95
1276,noURL,0.95
1277,noURL,0.95
1278,noURL,0.95
1279,noURL,0.95
1280,noURL,1.0
1281,noURL,1.0
1282,noURL,0.95
1283,noURL,0.95
1284,noURL,0.95
1285,noURL,1.0
1286,noURL,0.85
1287,noURL,0.99
1288,noURL,0.99
1289,noURL,0.95
1290,noURL,1.0
1291,noURL,1.0
1292,noURL,1.0
1293,noURL,1.0
1294,noURL,0.95
1295,noURL,0.85
1296,noURL,0.95
1297,noURL,1.0
1298,noURL,1.0
1299,noURL,0.95
1300,noURL,0.99
1301,noURL,1.0
1302,noURL,1.0
1303,noURL,0.99
1304,noURL,1.0
1305,noURL,1.0
1306,noURL,1.0
1307,noURL,0.95
1308,noURL,1.0
1309,noURL,1.0
1310,noURL,0.99
1311,noURL,0.95
1312,noURL,0.85
1313,noURL,1.0
1314,noURL,0.95
1315,noURL,1.0
1316,noURL,0.95
1317,noURL,0.95
1318,noURL,0.95
1319,noURL,0.95
1320,noURL,0.9
1321,noURL,0.95
1322,noURL,0.99
1323,noURL,1.0
1324,noURL,1.0
1325,noURL,1.0
1326,noURL,0.99
1327,noURL,0.95
1328,noURL,0.85
1329,noURL,0.95
1330,noURL,0.9
1331,noURL,0.95
1332,noURL,0.95
1333,noURL,0.99
1334,noURL,1.0
1335,noURL,1.0
1336,noURL,0.95
1337,noURL,1.0
1338,noURL,1.0
1339,noURL,0.95
1340,noURL,1.0
1341,noURL,1.0
1342,noURL,1.0
1343,noURL,0.95
1344,noURL,0.99
1345,noURL,1.0
1346,noURL,0.95
1347,noURL,0.95
1348,noURL,0.95
1349,noURL,0.95
1350,noURL,0.95
1351,noURL,0.95
1352,noURL,0.95
1353,noURL,0.95
1354,noURL,0.95
1355,noURL,0.95
1356,noURL,0.85
1357,noURL,1.0
1358,noURL,1.0
1359,noURL,0.99
1360,noURL,0.95
1361,noURL,1.0
